ticker,method,order_fraction,participation_limit,cost_scenario,sessions,mean_completion,mean_shortfall_bps,mean_vwap_slippage_bps
AAPL,POV,0.05,0.2,base,20,1.0,-3.7569420270266223,19.241391557448253
AAPL,POV,0.05,0.2,high,20,1.0,2.663439822103767,25.676350077546374
AAPL,POV,0.05,0.2,low,20,1.0,-6.967132951592252,16.023912297398525
AAPL,TWAP,0.01,0.05,base,20,1.0,-16.655461517024577,5.6759792134050135
AAPL,TWAP,0.01,0.05,high,20,1.0,-13.654278270287005,8.683509980717542
AAPL,TWAP,0.01,0.05,low,20,1.0,-18.156053140394985,4.172213829746529
AAPL,TWAP,0.01,0.1,base,20,1.0,-16.654848757126484,5.676593656431694
AAPL,TWAP,0.01,0.1,high,20,1.0,-13.653537884858697,8.684252333561515
AAPL,TWAP,0.01,0.1,low,20,1.0,-18.155504193261994,4.172764317864341
AAPL,TWAP,0.01,0.2,base,20,1.0,-16.654848757126484,5.676593656431694
AAPL,TWAP,0.01,0.2,high,20,1.0,-13.653537884858697,8.684252333561515
AAPL,TWAP,0.01,0.2,low,20,1.0,-18.155504193261994,4.172764317864341
AAPL,TWAP,0.03,0.05,base,20,1.0,-16.025107395382086,6.306682867252111
AAPL,TWAP,0.03,0.05,high,20,1.0,-12.321711187177385,10.017781128761783
AAPL,TWAP,0.03,0.05,low,20,1.0,-17.876805499482764,4.451133736498636
AAPL,TWAP,0.03,0.1,base,20,1.0,-15.921291859710312,6.411515294343362
AAPL,TWAP,0.03,0.1,high,20,1.0,-12.18613254279005,10.154398563340383
AAPL,TWAP,0.03,0.1,low,20,1.0,-17.788871518172943,4.540073659841936
AAPL,TWAP,0.03,0.2,base,20,1.0,-15.919173728986499,6.413646478558744
AAPL,TWAP,0.03,0.2,high,20,1.0,-12.182038483472983,10.158507657484439
AAPL,TWAP,0.03,0.2,low,20,1.0,-17.787741351745552,4.541215889093397
AAPL,TWAP,0.05,0.05,base,20,0.95607261099158,-16.359971534802455,5.316925200201273
AAPL,TWAP,0.05,0.05,high,20,0.95607261099158,-12.509860004645326,9.357564006088282
AAPL,TWAP,0.05,0.05,low,20,0.95607261099158,-18.28502729987814,3.296605797261043
AAPL,TWAP,0.05,0.1,base,20,1.0,-15.429967942511476,6.903459878816743
AAPL,TWAP,0.05,0.1,high,20,1.0,-11.207668676563058,11.134413482160655
AAPL,TWAP,0.05,0.1,low,20,1.0,-17.541117575488208,4.787983077142233
AAPL,TWAP,0.05,0.2,base,20,1.0,-15.41403729600853,6.919727036840683
AAPL,TWAP,0.05,0.2,high,20,1.0,-11.171228439068205,11.171209413150807
AAPL,TWAP,0.05,0.2,low,20,1.0,-17.53544172448253,4.793985848681792
AAPL,VWAP,0.01,0.05,base,20,0.9999999999999998,-17.085766274556843,5.331325761165295
AAPL,VWAP,0.01,0.05,high,20,0.9999999999999998,-14.164267292510758,8.259068819471748
AAPL,VWAP,0.01,0.05,low,20,0.9999999999999998,-18.546515765585774,3.8674542320056853
AAPL,VWAP,0.01,0.1,base,20,0.9999999999999998,-17.085766274556843,5.331325761165295
AAPL,VWAP,0.01,0.1,high,20,0.9999999999999998,-14.164267292510758,8.259068819471748
AAPL,VWAP,0.01,0.1,low,20,0.9999999999999998,-18.546515765585774,3.8674542320056853
AAPL,VWAP,0.01,0.2,base,20,0.9999999999999998,-17.085766274556843,5.331325761165295
AAPL,VWAP,0.01,0.2,high,20,0.9999999999999998,-14.164267292510758,8.259068819471748
AAPL,VWAP,0.01,0.2,low,20,0.9999999999999998,-18.546515765585774,3.8674542320056853
AAPL,VWAP,0.03,0.05,base,20,0.999833936618785,-16.409189398245434,6.004650612698226
AAPL,VWAP,0.03,0.05,high,20,0.999833936618785,-12.816018592177025,9.605995000619483
AAPL,VWAP,0.03,0.05,low,20,0.999833936618785,-18.205774801279116,4.203978418737875
AAPL,VWAP,0.03,0.1,base,20,0.9999999999999998,-16.408715866814944,6.009665403352349
AAPL,VWAP,0.03,0.1,high,20,0.9999999999999998,-12.80988285283947,9.61603201170086
AAPL,VWAP,0.03,0.1,low,20,0.9999999999999998,-18.208132373803487,4.206482099177455
AAPL,VWAP,0.03,0.2,base,20,0.9999999999999998,-16.408252933634206,6.010128907287804
AAPL,VWAP,0.03,0.2,high,20,0.9999999999999998,-12.80924061066292,9.616675111719541
AAPL,VWAP,0.03,0.2,low,20,0.9999999999999998,-18.20775909512077,4.206855805071241
AAPL,VWAP,0.05,0.05,base,20,0.9804394608610645,-15.774811054655075,6.2134935960075905
AAPL,VWAP,0.05,0.05,high,20,0.9804394608610645,-11.870096938689306,10.208629612890707
AAPL,VWAP,0.05,0.05,low,20,0.9804394608610645,-17.727168112636573,4.215925587567615
AAPL,VWAP,0.05,0.1,base,20,0.9999999999999998,-15.943632265019085,6.4756249392265985
AAPL,VWAP,0.05,0.1,high,20,0.9999999999999998,-11.880681424336867,10.546997063992537
AAPL,VWAP,0.05,0.1,low,20,0.9999999999999998,-17.97510768535732,4.439938876846738
AAPL,VWAP,0.05,0.2,base,20,0.9999999999999998,-15.941966592799194,6.4773029387311665
AAPL,VWAP,0.05,0.2,high,20,0.9999999999999998,-11.876567537367233,10.551123754495295
AAPL,VWAP,0.05,0.2,low,20,0.9999999999999998,-17.97466612051159,4.440392530852543
AMZN,POV,0.01,0.05,base,20,1.0,8.607922157252684,19.995238272159266
